review_id,review_text,source_star,source_split,location_sentiment,service_sentiment,price_sentiment,environment_sentiment,food_sentiment,aspect_summary,selection_role
7688,位置：这里的位置非常好找，就在铁三附近，就可以看到诚胜和的红色巨大招牌。服务：这里的服务我不得不说真的是很不好，也许是因为这里在学校旁边，服务起来有一种暴力模式，因为今天是第一次去不太清楚点饭模式，但是服务人员就很凶，本来点的是8块钱的三鲜馄饨，付钱的时候要了12，我说我要的是三鲜馄饨，她说汤是三鲜的，馄饨是大肉的，这种狡辩让我很不开心。环境：这里的环境还算干净整洁，店面相对也比较大，整体比较规规矩矩和大多数店差不多的。口味：这家上饭速度很不错，挺快的，饺子里的馅也挺多的挺实在的，中午学生在这里挺实惠的。总之这家是一家不错的店，就是服务态度需要改善。,3.0,train,positive,mixed,positive,positive,positive,location:positive; service:mixed; price:positive; environment:positive; food:positive,main_example
13222,和家人经常来的一家餐厅，菜和服务一如既往的好，价格很亲民。主要是他们家的优惠活动特别的多。周一刷工商信用卡可以打7.8折。更让我们感动的是老年人周二可以打6.6折，所以周二都会带上爷爷奶奶。感觉特别的划得来很超值。他们门口的熟食便民外卖有老年卡可以给打8折，味道真心不错。每次都是让老人家去买。但由个小建议可不可以年轻人拿卡就可以8折。不让天气冷了。不想让老人家往外跑了。周三的会员日整的非常好。打7折。我必需在优惠的日子去。省钱一族。\\n,5.0,test,,positive,positive,,positive,service:positive; price:positive; food:positive,positive_demo
2828,东西超贵，很普通的七个菜加一个例牌汤买单357元。就拿小炒肉来说吧，里面只有几片肉，其他的都是萝卜干和青辣椒了，唯一觉得好吃的只有鱼香茄子煲，其他六个菜真的不怎么滴，而且有些菜端来就凉了，特别是芋头扣肉与菜单上的图片真的是天壤之别。再看看收银小票，我点的菜都给我上的大份，我有点的大份吗??这就是商家要求顾客要事先说明用代金劵的目的吧！！！无心优惠搞什么代金劵呢?我们不会再光顾，也会告知身边的朋友。,1.0,train,,,negative,,negative,price:negative; food:negative,negative_demo
39662,这次去崇明旅游，看了点评说陆港小镇和一只菜比较不错，第一天中午就去吃了陆港小镇，感觉味道还是蛮好的，就是感觉价格有点贵，后来打车听师傅说他们当地人去吃小牛饭店和陈记家常菜的比较多，佳诚饭店也不错，结果一看小牛饭店和陈记家常菜的卫生状况都不怎么样，佳诚饭店看起来还挺不错的，进去也有有价目的菜单，后来就在这里吃了，感觉虽然有点小贵，不过味道和还是蛮不错的，下次有机会再到崇明来去吃吃看一只菜的味道怎么样。,5.0,train,,,negative,,positive,price:negative; food:positive,mixed_demo
24593,文庙附近吃象山海鲜的小饭店，价格亲民，环境一般，油烟味重。菜的量很实在，点了很多推荐菜，龙头烤炸的外表金黄，火候控制的很好，外催里嫩，蘸醋吃很开胃，不会觉得油腻。葱油蛏子可能是季节原因，肉质不算肥美，不过葱油很香，而且处理的比较干净，没有泥沙，就是实在太油，不敢多吃。心太软非常喜欢，满满一大团糯米，都扑出来了，QQ糯糯的，红枣也很甜，好吃，一盘几乎被我一个人吃掉了。年糕类的菜也不错，荠菜年糕、毛蟹年糕都喜欢，只要是糯米的，我都没有抵抗力。洋葱炒大肠和酸汤肥牛一般，大肠不够肥大，肥牛比较柴，而且偏咸了。总的来说，性价比很高，适合家人聚餐。,4.0,dev,,,positive,negative,positive,price:positive; environment:negative; food:positive,environment_demo
37544,"这个店在短短的十天内已经来吃第三次了，之前去过江西路的店，当时感觉一般。但是自从办事路过偶尔来吃一次之后一发不可收拾，陆续带着家人来吃，我们全家都喜欢。\\n\\n肉夹馍每次必点，肉的味道和分量都没得说。他家的面，泡沫味道我都不错，上菜速度挺快的，除了烤肉。当然烤肉的时间一般是比较长的，羊肉串是我的最爱是，他家有10和12两种价位的羊肉串，还有16的羊排和16的杨柳枝，根据我的经验，性价比最高是羊排和12的大串,10块的肥肉和筋太多，杨柳枝不正宗，枝子用了不只一次了。蒜烤得有点过，可以改进一下。鸡翅还挺受小朋友欢迎的。吃肉吃的多了还可以点个凉菜再来杯沙棘汁。",4.0,dev,,neutral,positive,,positive,service:neutral; price:positive; food:positive,regression_positive
4606,五大道里难得的平民小餐馆，就在疙瘩楼对面，旁边是热闹的烤肉店和煎饼果子铺子。店面不大，只有六七张四人方桌，不过很整齐干净，给人感觉比较简单亲近。\\n主打驴肉菜品，砂锅驴肉，葱烧驴肉驴杂什么的，价格不算高但分量是十足的，不过还是觉得有点儿油了。\\n驴肉火烧是7元一个，长条型的那种，不知道是不是都是吃得冷的，个人还是比较想要吃上热乎的饼子和驴肉。\\n其它菜都很实惠，基本都是十来块一份，随便点，很良心。从早上九点多一直开到晚上十来点。,5.0,train,neutral,,positive,positive,positive,location:neutral; price:positive; environment:positive; food:positive,regression_positive
24229,挺有特色的一家店，店里很多地方的设计都充满心意，诙谐幽默，价格也是超实惠的！感觉大骨棒太实惠了好吗！5.9一个味道也是好的没的说！米饭神马的自己去盛，可以随便添，我觉得比较适合大胃王哈，米饭旁边放了很多小零食，有小柿子瓜子和爆米花，都是随便吃，自己拿小碗盛就好，刚进店还能看到店员在做豆腐皮，特别和谐哈哈哈，吃完饭还有人做回访，问问菜的味道怎么样，人挺幽默的，菜的味道感觉略欠点儿口味儿，这么好玩的店配上一个超赞的大厨的话就无敌了！,5.0,train,,,positive,positive,neutral,price:positive; environment:positive; food:neutral,regression_positive
29932,点了甜水面、豌豆凉粉和黄凉粉，淡季的中午，人不多，阴冷，凉粉真是凉的吃不下去，，，，好多本地大妈来单点一碗凉粉，不知道她们身体怎么吃的消，，凉粉味道差别不大，豌豆凉粉略好吃，甜水面像是烫面做的粗条，吃着不辣，，，，要说的是打包的话多收5毛钱打包费，前台会给你一个打包小纸碗，不过去窗口说面和酱料分开装时，大姐却非常不乐意的说了些听不懂的，还是旁边另一个服务员给装的酱包，这种态度在北方真是很少见，毕竟打包还收钱，，，量少，想吃饱应该是三份，所以可多点些小吃尝下，味道不会很惊艳，一路下来感觉每家都差不多，，没什么服务可言，对本地人蛮热情，外地就只是用来赚钱啦，，桌子摆了一堆东西都懒得收,4.0,train,,negative,,,negative,service:negative; food:negative,regression_negative
40814,"開店推出的一桌送一鴨，所以去試試看，誰知道⋯第一次碰這樣誇張的服務！第1:打的廣告送一隻鴨，其實只送鴨外面那層皮肉，裡面的全部沒有，要額外收費！！！""廣告不實"" 。第2:菜單本居然只有一本，光點菜就等大半天，口頭點菜還不行，說在忙⋯其他還有服務員在聊天。第3:結帳時沒点的菜硬要收錢，服務員還說有送，傻眼！請調你們的攝影機出來看！第4:打包要帶走的菜居然直接拿去丟掉、問了服務員沒人知道，最後主管來說服務員丟了！問主管該怎麼處理，她說沒辦法⋯不好意思。 真的是無語了！服務有待加強，包含主管也是！",1.0,train,,negative,,,,service:negative,regression_negative
